køn,herkomst,alder,uddannelse,2020,2021,2022,2023,2024,education_level
Kvinder,Indvandrere,35-39 år,MVU,15350.0,16412.0,19780.0,19860.0,20884.0,Medium
Kvinder,Indvandrere,35-39 år,H80 Ph.d. og forskeruddannelser,1463.0,1537.0,1825.0,1902.0,2162.0,High
Mænd,Dansk oprindelse,20-24 år,BACH,13850.0,13740.0,12704.0,12534.0,11940.0,High
Mænd,Dansk oprindelse,20-24 år,H3091 Grundforløb,0.0,0.0,1423.0,2036.0,1907.0,Low
Mænd,Dansk oprindelse,20-24 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,30.0,26.0,31.0,23.0,21.0,Other
Mænd,Dansk oprindelse,20-24 år,H35 Adgangsgivende uddannelsesforløb,178.0,130.0,102.0,88.0,84.0,Low
Mænd,Dansk oprindelse,20-24 år,H3510 Adgangskurser - videregående udd.,1.0,1.0,1.0,2.0,1.0,Low
Mænd,Dansk oprindelse,20-24 år,H3520 Adgangseksamen - ingeniøruddannelse,177.0,129.0,101.0,86.0,83.0,Low
Mænd,Dansk oprindelse,20-24 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Mænd,Dansk oprindelse,20-24 år,H80 Ph.d. og forskeruddannelser,1.0,0.0,0.0,0.0,1.0,High
Mænd,Dansk oprindelse,20-24 år,KVU,5926.0,5792.0,5642.0,5824.0,5028.0,Medium
Mænd,Dansk oprindelse,20-24 år,LVU,1054.0,1166.0,952.0,888.0,786.0,High
Mænd,Dansk oprindelse,20-24 år,MVU,2704.0,2660.0,2332.0,2180.0,2092.0,Medium
Mænd,Dansk oprindelse,20-24 år,H80 Ph.d. og forskeruddannelser,1.0,0.0,0.0,0.0,1.0,High
Mænd,Dansk oprindelse,25-29 år,BACH,24218.0,24620.0,25272.0,25726.0,26524.0,High
Mænd,Dansk oprindelse,25-29 år,H3091 Grundforløb,0.0,0.0,358.0,585.0,685.0,Low
