område,køn,alder,herkomst,uddannelse,2020,2021,2022,2023,2024
Hele landet,Mænd,20-24 år,Efterkommere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,Ph.d.,0.0,0.0,5.0,5.0,3.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,H3091 Grundforløb,0.0,0.0,358.0,585.0,685.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,24.0,24.0,32.0,43.0,38.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,H35 Adgangsgivende uddannelsesforløb,200.0,176.0,143.0,122.0,106.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,H3510 Adgangskurser - videregående udd.,2.0,1.0,1.0,1.0,0.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,H3520 Adgangseksamen - ingeniøruddannelse,198.0,175.0,142.0,121.0,106.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,9327.0,9762.0,9862.0,9927.0,10064.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,8.0,5.0,2.0,3.0,4.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,910.0,795.0,722.0,671.0,644.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,17.0,21.0,19.0,20.0,13.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,4365.0,4587.0,4752.0,4887.0,5000.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,2602.0,2735.0,2664.0,2685.0,2676.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,248.0,224.0,211.0,184.0,157.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,213.0,216.0,226.0,224.0,208.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,61.0,64.0,62.0,72.0,83.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,29.0,28.0,22.0,19.0,19.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,833.0,1051.0,1154.0,1124.0,1187.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,KVU,41.0,36.0,28.0,38.0,73.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,17396.0,17863.0,18149.0,18024.0,17979.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,4005.0,3965.0,3949.0,3843.0,3670.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,924.0,929.0,891.0,872.0,828.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,416.0,433.0,371.0,304.0,238.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,3704.0,3925.0,4060.0,4108.0,4231.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,13.0,20.0,14.0,10.0,27.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,6326.0,6559.0,6833.0,6852.0,6924.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,0.0,14.0,31.0,39.0,54.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,108.0,120.0,118.0,132.0,128.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,154.0,162.0,170.0,148.0,157.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,120.0,112.0,100.0,104.0,106.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,1509.0,1520.0,1515.0,1497.0,1500.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,76.0,72.0,68.0,81.0,83.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,MVU,41.0,32.0,29.0,34.0,33.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,12109.0,12310.0,12636.0,12863.0,13262.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,14.0,20.0,25.0,22.0,22.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,2505.0,2354.0,2244.0,2189.0,2203.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,540.0,532.0,529.0,487.0,486.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,2168.0,2118.0,2178.0,2211.0,2354.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,4224.0,4460.0,4690.0,4892.0,4998.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,1483.0,1588.0,1753.0,1854.0,2041.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,24.0,41.0,41.0,32.0,29.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,139.0,156.0,147.0,129.0,117.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,968.0,990.0,965.0,1006.0,949.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,BACH,44.0,51.0,64.0,41.0,63.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,20220.0,20894.0,21247.0,21494.0,21139.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,123.0,134.0,118.0,114.0,96.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,2369.0,2326.0,2114.0,1881.0,1656.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,300.0,309.0,297.0,298.0,268.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,2943.0,3126.0,3134.0,3228.0,3278.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,8954.0,9206.0,9488.0,9678.0,9764.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,4220.0,4456.0,4691.0,4894.0,4752.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,31.0,37.0,47.0,58.0,59.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,193.0,206.0,233.0,237.0,214.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,1033.0,1049.0,1100.0,1082.0,1026.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,LVU,54.0,45.0,25.0,24.0,26.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,H80 Ph.d. og forskeruddannelser,99.0,98.0,96.0,77.0,84.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,Ph.d.,0.0,2.0,2.0,2.0,0.0
Hele landet,Mænd,25-29 år,Dansk oprindelse,Ph.d.,9.0,7.0,10.0,7.0,4.0
